"date e hora","caso de teste","mensagem"
"[2021/09/30 00:53:30:5330] ","INICIO dos Casos De Teste","Teste Iniciou em 2021-09-30 00-53"
"[2021/09/30 00:53:39:5339] ","submarino","Abriu o Site"
"[2021/09/30 00:53:39:5339] ","Caso de Teste submarino","Iniciou o Caso de Teste"
"[2021/09/30 00:53:41:5341] ","Caso de Teste submarino","clicou na barra de pesquisa"
"[2021/09/30 00:53:41:5341] ","Caso de Teste submarino","limpou o campo"
"[2021/09/30 00:53:41:5341] ","Caso de Teste submarino","Digitou canecas"
"[2021/09/30 00:53:44:5344] ","Caso de Teste submarino","Clicou botão Lupa"
"[2021/09/30 00:53:44:5344] ","Caso de Teste submarino","Aferiu que é canecas"
"[2021/09/30 00:53:45:5345] ","Caso de Teste submarino","Aferiu que é Caneca Estante de livros"
"[2021/09/30 00:53:45:5345] ","Caso de Teste submarino","Aferiu que é R$ 29,90"
"[2021/09/30 00:53:48:5348] ","Caso de Teste submarino","Clicou no valor de R$ 29,90"
"[2021/09/30 00:53:48:5348] ","Caso de Teste submarino","Aferiu que é Caneca Estante De Livros"
"[2021/09/30 00:53:59:5359] ","Caso de Teste submarino","Clicou em Comprar"
"[2021/09/30 00:53:59:5359] ","FIM do Caso de Teste","Terminou em 2021-09-30 00-53"
"[2021/09/30 00:54:00:540] ","FIM dos Casos de Teste","Teste Iniciou em 2021-09-30 00-53 e Terminou em 2021-09-30 00-54"
